Name,University,Place,Date,Type
Introduction to Digital Humanities,Higher School of Economics,"Moscow,
Russian Federation",2 Jan recurring,Module
Humanities in a Digital Age,Higher School of Economics,"Moscow,
Russian Federation",5 Sept recurring,Master Programme
Digital Humanities Tools: Resources and Case Studies,Higher School of Economics,"Moscow,
Russian Federation",2 Sept recurring,Module
Introduction to Digital Humanities,Perm State University,"Perm,
Russian Federation",2 Sept recurring,Course
Digital Humanities: Concepts and Approaches,Higher School of Economics,"Moscow,
Russian Federation",4 Nov recurring,Module
Digital Humanities in Practice,Universitetet i Bergen,"Bergen,
Norway",2 Aug recurring,Bachelor Programme
Computational Arts and Humanities,Siberian Federal University,"Krasnoyarsk,
Russian Federation",1 Sept recurring,Bachelor Programme
Computational Arts and Sociocultural Studies,Perm State University,"Perm,
Russian Federation",,Master Programme
Introduction to Digital Humanities,Perm State University,"Perm,
Russian Federation",2 Sept recurring,Course
Digitale Edition von Briefen und Manuskripten: Transkriptio ...,Humbold Universität Berlin,"Berlin,
Germany",,Master Programme
Statistics in R for Linguists,Charles University,"Prag,
Czech Republic",1 Feb recurring,Module
Máster de Humanidades Digitales,University of Barcelona,"Barcelona,
Spain",,Master Programme
MA in Digital Humanities,Lancaster University,"Lancaster,
United Kingdom",5 Oct recurring,Master Programme
Digital Humanities - Sprachwissenschaften,Ludwig-Maximilians-Universität München,"München,
Germany",1 Oct recurring,Bachelor Programme
Traitement et analyse de l'information spatialisée,École des hautes études en sciences sociales,"Paris,
France",1 Nov recurring,Research Master
Artificial Intelligence,Universiteit Utrecht,"Utrecht,
Netherlands",1 Sept recurring,Master Programme
Special Topics in Digital Humanities,Universiteit van Leiden,"Leiden,
Netherlands",4 Feb recurring,Course
Text and language processing,University of Zagreb,"Zagreb,
Croatia",1 Oct recurring,Course
Natural Language Processing for Historical Texts,University of Zagreb,"Zagreb,
Croatia",1 Feb recurring,Course
Informática Aplicada à História,Universidade NOVA de Lisboa,"Lisbon,
Portugal",1 Mar recurring,Course
Analyse littéraire et linguistique assistée par ordinateur,Sorbonne Nouvelle,"Paris,
France",5 Sept recurring,Course
"Mineure ""Humanités numériques""",Sorbonne Nouvelle,"Paris,
France",6 Sept recurring,Bachelor Programme
Master in Digital Humanities,Sorbonne Nouvelle,"Paris,
France",1 Sept recurring,Master Programme
Digitale Methodik in den Geistes- und Kulturwissenschaften,Johannes Gutenberg-Universität Mainz,"Mainz,
Germany",6 Oct recurring,Master Programme
Digital Humanities Minor,Tallinn University,"Tallin,
Estonia",5 Sept recurring,Module
Master in Digital Humanities,Université Francois-Rabelais,"Tours,
France",6 Sept recurring,Master Programme
Digital Humanities,Universität Stuttgart,"Stuttgart,
Germany",4 Oct recurring,Master Programme
"Literature, Translation, and New Technologies",Aristotle University of Thessaloniki,"Thessaloniki,
Greece",3 Oct recurring,Bachelor Programme
Topics in Natural Language Processing,University of the Aegean,"Rhodes,
Greece",,Bachelor Programme
Corpus Processing,University of the Aegean,"Rhodes,
Greece",,Bachelor Programme
Digital Humanities Minor,Universiteit van Leiden,"Leiden,
Netherlands",5 Sept recurring,Module
New Media and Society,Universiteit van Leiden,"Leiden,
Netherlands",5 Sept recurring,Course
Hacking the Humanities: An Introduction to Digital Humaniti ...,Universiteit van Leiden,"Leiden,
Netherlands",5 Sept recurring,Course
Data Visualization and the Humanities,Universiteit van Leiden,"Leiden,
Netherlands",5 Sept recurring,Course
Digital Approaches to Historical Inquiry,Universiteit van Leiden,"Leiden,
Netherlands",4 Feb recurring,Course
Digital Detectives: Detective Literature Under a Digital Ma ...,Universiteit van Leiden,"Leiden,
Netherlands",4 Feb recurring,Course
Editorik historischer Quellen,Johannes Gutenberg-Universität Mainz,"Mainz,
Germany",5 Apr recurring,Master Programme
